"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","SGS","(U) ","South Georgia and the South Sandwich Islands"
"(U) ","SHN","(U) ","Saint Helena, Ascension, and Tristan da Cunha"
"(U) ","SLB","(U) ","Solomon Islands"
"(U) ","SLE","(U) ","Republic of Sierra Leone"
"(U) ","SLV","(U) ","Republic of El Salvador"
"(U) ","SMR","(U) ","Republic of San Marino"
"(U) ","SOM","(U) ","Federal Republic of Somalia"
"(U) ","SPM","(U) ","Territorial Collectivity of Saint Pierre and Miquelon"
"(U) ","SRB","(U) ","Republic of Serbia"
"(U) ","SSD","(U) ","Republic of South Sudan"
"(U) ","STP","(U) ","Democratic Republic of Sao Tome and Principe"
"(U) ","SUR","(U) ","Republic of Suriname"
"(U) ","SVK","(U) ","Slovak Republic"
"(U) ","SVN","(U) ","Republic of Slovenia"
"(U) ","SWE","(U) ","Kingdom of Sweden"
"(U) ","SWZ","(U) ","Kingdom of Swaziland"
"(U) ","SXM","(U) ","Sint Maarten"
"(U) ","SYC","(U) ","Republic of Seychelles"
"(U) ","SYR","(U) ","Syrian Arab Republic"
"(U) ","TCA","(U) ","Turks and Caicos Islands"
"(U) ","TCD","(U) ","Republic of Chad"
"(U) ","TGO","(U) ","Togolese Republic"
"(U) ","THA","(U) ","Kingdom of Thailand"
"(U) ","TJK","(U) ","Republic of Tajikistan"
"(U) ","TKL","(U) ","Tokelau"
"(U) ","TKM","(U) ","Turkmenistan"
"(U) ","TLS","(U) ","Democratic Republic of Timor-Leste"
"(U) ","TON","(U) ","Kingdom of Tonga"
"(U) ","TTO","(U) ","Republic of Trinidad and Tobago"
"(U) ","TUN","(U) ","Republic of Tunisia"
"(U) ","TUR","(U) ","Republic of Turkey"
"(U) ","TUV","(U) ","Tuvalu"
"(U) ","TWN","(U) ","Taiwan"
"(U) ","TZA","(U) ","United Republic of Tanzania"
"(U) ","UGA","(U) ","Republic of Uganda"
"(U) ","UKR","(U) ","Ukraine"
"(U) ","URY","(U) ","Oriental Republic of Uruguay"
"(U) ","UZB","(U) ","Republic of Uzbekistan"
"(U) ","VAT","(U) ","State of the Vatican City"
"(U) ","VCT","(U) ","Saint Vincent and the Grenadines"
"(U) ","VEN","(U) ","Bolivarian Republic of Venezuela"
"(U) ","VGB","(U) ","Virgin Islands, British"
"(U) ","VIR","(U) ","United States Virgin Islands"
"(U) ","VNM","(U) ","Socialist Republic of Vietnam"
"(U) ","VUT","(U) ","Republic of Vanuatu"
"(U) ","WLF","(U) ","Wallis and Futuna"
"(U) ","WSM","(U) ","Independent State of Samoa"
"(U) ","XAC","(U) ","Territory of Ashmore and Cartier Islands"
"(U) ","XAZ","(U) ","Entity 1"
"(U) ","XBI","(U) ","Bassas da India"
"(U) ","XBK","(U) ","Baker Island"
"(U) ","XCR","(U) ","Entity 2"
"(U) ","XCS","(U) ","Coral Sea Islands Territory"
"(U) ","XCY","(U) ","Entity 3"
"(U) ","XEU","(U) ","Europa Island"
"(U) ","XGL","(U) ","Glorioso Islands"
"(U) ","XGZ","(U) ","Gaza Strip"
"(U) ","XHO","(U) ","Howland Island"
"(U) ","XJA","(U) ","Johnston Atoll"
"(U) ","XJM","(U) ","Jan Mayen"
"(U) ","XJN","(U) ","Juan de Nova Island"
"(U) ","XJV","(U) ","Jarvis Island"
"(U) ","XKM","(U) ","Entity 4"
"(U) ","XKN","(U) ","Entity 5"
"(U) ","XKR","(U) ","Kingman Reef"
"(U) ","XKS","(U) ","Republic of Kosovo"
"(U) ","XMW","(U) ","Midway Islands"
"(U) ","XNV","(U) ","Navassa Island"
"(U) ","XPL","(U) ","Palmyra Atoll"
"(U) ","XPR","(U) ","Paracel Islands"
"(U) ","XQZ","(U) ","Akrotiri"
"(U) ","XSP","(U) ","Spratly Islands"
"(U) ","XSV","(U) ","Svalbard"
"(U) ","XTR","(U) ","Tromelin Island"
"(U) ","XWB","(U) ","West Bank"
"(U) ","XWK","(U) ","Wake Island"
"(U) ","XXD","(U) ","Dhekelia"
"(U) ","YEM","(U) ","Republic of Yemen"
"(U) ","ZAF","(U) ","Republic of South Africa"
"(U) ","ZMB","(U) ","Republic of Zambia"
